ON,0.000
OFF,0.301
ON,0.606
OFF,0.908
ON,1.210
OFF,2.121
ON,2.425
OFF,2.727
ON,3.638
OFF,3.941
ON,4.243
OFF,5.150
ON,5.454
OFF,5.757
ON,6.061
OFF,6.365
ON,7.277
OFF,7.579
ON,7.882
OFF,8.794
ON,9.700
OFF,10.609
ON,10.911
OFF,11.825
ON,12.129
OFF,12.433
ON,13.341
OFF,14.252
ON,14.556
OFF,14.859
ON,15.162
OFF,16.076
ON,16.378
OFF,17.291
ON,17.594
OFF,17.897
ON,18.808
OFF,19.718
ON,20.021
OFF,20.929
ON,21.838
OFF,22.748
ON,23.051
OFF,23.960
ON,24.263
OFF,25.172
ON,25.477
OFF,26.385
ON,26.688
OFF,27.598
ON,28.508
OFF,28.811
ON,29.114
OFF,30.021
ON,30.325
OFF,30.627
ON,31.536
OFF,31.838
ON,32.143
OFF,32.447
ON,32.750
OFF,33.053
ON,33.961
OFF,34.264
ON,34.566
OFF,34.869
ON,35.172
OFF,35.474
ON,35.779
OFF,36.690
ON,36.993
OFF,37.903
ON,38.813
OFF,39.115
ON,39.418
OFF,39.723
ON,40.026
OFF,40.935
ON,41.238
OFF,42.147
ON,42.450
OFF,42.753
ON,43.054
OFF,43.963
ON,44.873
OFF,45.178
ON,45.481
OFF,45.784
ON,46.088
OFF,46.391
ON,47.301
OFF,48.212
ON,48.516
OFF,49.427
ON,50.336
OFF,50.639
ON,50.941
OFF,51.244
ON,51.547
OFF,51.852
ON,52.155
OFF,52.457
ON,52.761
OFF,53.669
ON,54.578
OFF,54.881
ON,55.185
OFF,56.094
ON,56.397
OFF,56.700
ON,57.607
OFF,58.515
ON,59.425
OFF,59.730
ON,60.032
OFF,60.335
ON,60.638
OFF,61.547
ON,61.851
OFF,62.761
ON,63.064
OFF,63.368
ON,63.671
OFF,64.581
ON,65.490
OFF,66.400
ON,66.703
OFF,67.005
ON,67.308
OFF,67.610
ON,67.913
OFF,68.218
ON,69.130
OFF,69.432
ON,69.735
OFF,70.038
ON,70.343
OFF,71.250
ON,72.159
OFF,72.462
ON,72.765
OFF,73.673
ON,73.976
OFF,74.887
ON,75.190
OFF,76.101
ON,76.403
OFF,77.317
ON,78.223
OFF,79.130
ON,79.433
OFF,79.735
ON,80.039
OFF,80.341
ON,80.643
OFF,80.946
ON,81.856
OFF,82.765
ON,83.070
OFF,83.373
ON,83.675
OFF,84.585
ON,84.889
OFF,85.798
ON,86.101
OFF,86.404
ON,86.706
OFF,87.612
